size,shape,count,pct_cases
small,light,829,26.54
small,circle,471,15.08
small,other,302,9.67
small,sphere,295,9.45
small,triangle,264,8.45
small,unknown,235,7.52
small,oval,167,5.35
small,formation,103,3.3
small,changing,96,3.07
small,cigar,79,2.53
small,cylinder,58,1.86
small,flash,56,1.79
small,rectangle,50,1.6
small,teardrop,42,1.34
small,chevron,38,1.22
small,cross,20,0.64
small,cone,17,0.54
small,round,1,0.03
medium,light,15,26.79
medium,triangle,8,14.29
medium,circle,7,12.5
medium,oval,7,12.5
medium,sphere,7,12.5
medium,formation,3,5.36
medium,other,3,5.36
medium,rectangle,2,3.57
medium,unknown,2,3.57
medium,changing,1,1.79
medium,cylinder,1,1.79
massive,triangle,392,23.74
massive,light,191,11.57
massive,circle,184,11.14
massive,other,184,11.14
massive,unknown,123,7.45
massive,rectangle,108,6.54
massive,sphere,93,5.63
massive,oval,82,4.97
massive,cigar,65,3.94
massive,chevron,49,2.97
massive,formation,44,2.67
massive,changing,43,2.6
massive,cylinder,32,1.94
massive,flash,30,1.82
massive,teardrop,13,0.79
massive,cone,12,0.73
massive,cross,6,0.36
big,light,1478,19.12
big,triangle,1209,15.64
big,circle,1145,14.81
big,other,689,8.91
big,sphere,601,7.77
big,unknown,504,6.52
big,oval,451,5.83
big,rectangle,304,3.93
big,cigar,268,3.47
big,formation,236,3.05
big,changing,219,2.83
big,chevron,181,2.34
big,cylinder,161,2.08
big,flash,144,1.86
big,teardrop,81,1.05
big,cone,33,0.43
big,cross,24,0.31
big,delta,2,0.03
