state,shape,count,pct_cases
WA,light,123,21.35
WA,circle,80,13.89
WA,triangle,76,13.19
WA,other,59,10.24
WA,sphere,50,8.68
WA,unknown,44,7.64
WA,oval,41,7.12
WA,changing,22,3.82
WA,flash,16,2.78
WA,rectangle,15,2.6
WA,cigar,14,2.43
WA,formation,14,2.43
WA,chevron,10,1.74
WA,cylinder,7,1.22
WA,teardrop,3,0.52
WA,cone,1,0.17
WA,cross,1,0.17
VA,light,44,17.19
VA,triangle,42,16.41
VA,circle,35,13.67
VA,other,25,9.77
VA,unknown,19,7.42
VA,sphere,17,6.64
VA,cigar,14,5.47
VA,oval,14,5.47
VA,rectangle,12,4.69
VA,cylinder,7,2.73
VA,flash,7,2.73
VA,changing,6,2.34
VA,chevron,5,1.95
VA,formation,5,1.95
VA,cone,1,0.39
VA,cross,1,0.39
VA,delta,1,0.39
VA,teardrop,1,0.39
TX,light,97,18.37
TX,triangle,70,13.26
TX,circle,66,12.5
TX,unknown,54,10.23
TX,other,51,9.66
TX,sphere,43,8.14
TX,oval,37,7.01
TX,cigar,19,3.6
TX,rectangle,18,3.41
TX,formation,16,3.03
TX,chevron,14,2.65
TX,cylinder,12,2.27
TX,flash,10,1.89
TX,changing,9,1.7
TX,teardrop,9,1.7
TX,cone,3,0.57
TN,light,35,16.59
TN,triangle,35,16.59
TN,circle,32,15.17
TN,sphere,25,11.85
TN,unknown,22,10.43
TN,oval,13,6.16
TN,other,11,5.21
TN,cylinder,9,4.27
TN,cigar,8,3.79
TN,changing,4,1.9
TN,formation,4,1.9
TN,rectangle,4,1.9
TN,chevron,3,1.42
TN,flash,3,1.42
TN,teardrop,2,0.95
TN,cone,1,0.47
PA,light,78,19.31
PA,triangle,73,18.07
PA,circle,58,14.36
PA,other,41,10.15
PA,sphere,34,8.42
PA,oval,22,5.45
PA,unknown,18,4.46
PA,formation,17,4.21
PA,cigar,12,2.97
PA,rectangle,11,2.72
PA,changing,10,2.48
PA,flash,7,1.73
PA,cone,6,1.49
PA,cylinder,6,1.49
PA,chevron,5,1.24
PA,teardrop,5,1.24
PA,cross,1,0.25
OR,light,69,21.36
OR,circle,54,16.72
OR,triangle,42,13.0
OR,sphere,28,8.67
OR,other,26,8.05
OR,oval,20,6.19
OR,rectangle,15,4.64
OR,unknown,15,4.64
OR,cigar,14,4.33
OR,changing,9,2.79
OR,cylinder,8,2.48
OR,formation,8,2.48
OR,teardrop,6,1.86
OR,flash,5,1.55
OR,chevron,4,1.24
ON,light,47,20.98
ON,circle,34,15.18
ON,triangle,31,13.84
ON,sphere,25,11.16
ON,other,22,9.82
ON,unknown,11,4.91
ON,oval,10,4.46
ON,formation,9,4.02
ON,cigar,7,3.12
ON,flash,7,3.12
ON,changing,6,2.68
ON,cylinder,6,2.68
ON,rectangle,5,2.23
ON,chevron,2,0.89
ON,cone,1,0.45
ON,teardrop,1,0.45
OH,light,76,18.23
OH,triangle,65,15.59
OH,circle,58,13.91
OH,other,43,10.31
OH,sphere,31,7.43
OH,unknown,27,6.47
OH,oval,23,5.52
OH,rectangle,19,4.56
OH,changing,15,3.6
OH,formation,15,3.6
OH,cigar,14,3.36
OH,chevron,10,2.4
OH,cylinder,8,1.92
OH,cone,4,0.96
OH,flash,4,0.96
OH,cross,3,0.72
OH,teardrop,2,0.48
NY,light,87,17.83
NY,triangle,84,17.21
NY,circle,83,17.01
NY,other,40,8.2
NY,sphere,38,7.79
NY,unknown,37,7.58
NY,oval,27,5.53
NY,rectangle,22,4.51
NY,cigar,17,3.48
NY,chevron,13,2.66
NY,changing,11,2.25
NY,formation,7,1.43
NY,cylinder,6,1.23
NY,flash,6,1.23
NY,cross,5,1.02
NY,teardrop,4,0.82
NY,cone,1,0.2
NJ,light,41,18.3
NJ,circle,40,17.86
NJ,triangle,34,15.18
NJ,other,23,10.27
NJ,unknown,20,8.93
NJ,oval,18,8.04
NJ,sphere,15,6.7
NJ,flash,7,3.12
NJ,rectangle,7,3.12
NJ,changing,6,2.68
NJ,chevron,4,1.79
NJ,cigar,4,1.79
NJ,formation,2,0.89
NJ,cone,1,0.45
NJ,cross,1,0.45
NJ,cylinder,1,0.45
NC,light,59,17.0
